Cy    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
Cp    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
Ck    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
Cj    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
cA    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
cB    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
cC    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
cD    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
N     0.000    Referenced or adopted from Miller JACS,112,8533(1990)
N*    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
N2    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
N3    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
NA    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
NB    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
NAMG  0.000    From Panteva et al. JPCB, 2015, 119, 15460
NGMG  0.000    From Panteva et al. JPCB, 2015, 119, 15460
NAMN  0.000    From Panteva et al. JPCB, 2015, 119, 15460
NGMN  0.000    From Panteva et al. JPCB, 2015, 119, 15460
NAZN  0.000    From Panteva et al. JPCB, 2015, 119, 15460
NGZN  0.000    From Panteva et al. JPCB, 2015, 119, 15460
NACD  0.000    From Panteva et al. JPCB, 2015, 119, 15460
NGCD  0.000    From Panteva et al. JPCB, 2015, 119, 15460
NC    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
ND    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
NL    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
NT    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
NY    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
TN    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
n     0.000    Referenced or adopted from Miller JACS,112,8533(1990)
n1    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
n2    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
n3    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
n4    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
na    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
nb    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
nc    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
nd    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
ne    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
nf    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
nh    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
no    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
Ng    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
nA    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
nN    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
O     0.000    Referenced or adopted from Miller JACS,112,8533(1990)
O2    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
O3    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
OD    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
OP    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
OPMG  0.000    From Panteva et al. JPCB, 2015, 119, 15460
OPMN  0.000    From Panteva et al. JPCB, 2015, 119, 15460
OPZN  0.000    From Panteva et al. JPCB, 2015, 119, 15460
